,fund_id,predicted_abnormal_return,rank,decile
0,0,-7.781655e-05,258.0,1
1,1,-7.789955e-05,426.0,2
2,2,-7.81284e-05,1281.0,4
3,3,-7.81284e-05,1282.0,4
4,4,-7.81308e-05,2553.0,8
5,5,-7.81284e-05,1283.0,4
6,6,-7.814753e-05,2845.0,9
7,7,-7.81284e-05,1284.0,4
8,8,-7.844234e-05,3227.0,10
9,9,-7.809193e-05,890.0,3
10,10,-7.81284e-05,1285.0,4
11,11,-7.8581594e-05,3255.0,10
12,12,-7.812803e-05,1105.0,4
13,13,-7.855242e-05,3249.0,10
14,14,-7.81284e-05,1286.0,4
15,15,-7.81284e-05,1287.0,4
16,16,-7.81308e-05,2554.0,8
17,17,-7.81284e-05,1288.0,4
18,18,-7.81284e-05,1289.0,4
19,19,-7.81284e-05,1290.0,4
20,20,-7.81284e-05,1291.0,4
21,21,-7.818734e-05,2936.0,9
22,22,-7.812803e-05,1106.0,4
23,23,-7.81284e-05,1292.0,4
24,24,-7.81284e-05,1293.0,4
25,25,-7.829271e-05,3155.0,10
26,26,-7.81284e-05,1294.0,4
27,27,-7.7504905e-05,51.0,1
28,28,-7.7517056e-05,59.0,1
29,29,-7.8061326e-05,800.0,3
30,30,-7.825384e-05,3115.0,10
31,31,-7.752114e-05,63.0,1
32,32,-7.757394e-05,86.0,1
33,33,-7.824415e-05,3103.0,10
34,34,-7.797176e-05,583.0,2
35,35,-7.81284e-05,1295.0,4
36,36,-7.81284e-05,1296.0,4
37,37,-7.81284e-05,1297.0,4
38,38,-7.809324e-05,952.0,3
39,39,-7.8538185e-05,3244.0,10
40,40,-7.8128396e-05,1223.0,4
41,41,-7.81288e-05,2404.0,8
42,42,-7.7983976e-05,606.0,2
43,43,-7.786674e-05,355.0,2
44,44,-7.81284e-05,1298.0,4
45,45,-7.813701e-05,2657.0,9
46,46,-7.81284e-05,1299.0,4
47,47,-7.812751e-05,1062.0,4
48,48,-7.81284e-05,1300.0,4
49,49,-7.81284e-05,1301.0,4
50,50,-7.7844605e-05,306.0,1
51,51,-7.836991e-05,3204.0,10
52,52,-7.81284e-05,1302.0,4
53,53,-7.788462e-05,397.0,2
54,54,-7.81308e-05,2555.0,8
55,55,-7.81284e-05,1303.0,4
56,56,-7.791836e-05,463.0,2
57,57,-7.810377e-05,998.0,4
58,58,-7.81284e-05,1304.0,4
59,59,-7.812831e-05,1178.0,4
60,60,-7.787737e-05,373.0,2
61,61,-7.81284e-05,1305.0,4
62,62,-7.81284e-05,1306.0,4
63,63,-7.81284e-05,1307.0,4
64,64,-7.81284e-05,1308.0,4
65,65,-7.81284e-05,1309.0,4
66,66,-7.813893e-05,2738.0,9
67,67,-7.81284e-05,1310.0,5
68,68,-7.7840545e-05,294.0,1
69,69,-7.790275e-05,436.0,2
70,70,-7.81308e-05,2556.0,8
71,71,-7.751953e-05,62.0,1
72,72,-7.81284e-05,1311.0,5
73,73,-7.81284e-05,1312.0,5
74,74,-7.8111676e-05,1015.0,4
75,75,-7.81284e-05,1313.0,5
76,76,-7.8128025e-05,1103.0,4
77,77,-7.8016594e-05,687.0,3
78,78,-7.804329e-05,751.0,3
79,79,-7.81284e-05,1314.0,5
80,80,-7.820337e-05,2970.0,10
81,81,-7.820337e-05,2971.0,10
82,82,-7.81293e-05,2413.0,8
83,83,-7.81293e-05,2414.0,8
84,84,-7.81284e-05,1315.0,5
85,85,-7.81284e-05,1316.0,5
86,86,-7.840008e-05,3212.0,10
87,87,-7.81284e-05,1317.0,5
88,88,-7.813893e-05,2739.0,9
89,89,-7.81284e-05,1318.0,5
90,90,-7.81284e-05,1319.0,5
91,91,-7.813893e-05,2740.0,9
92,92,-7.807984e-05,858.0,3
93,93,-7.81284e-05,1320.0,5
94,94,-7.813576e-05,2633.0,9
95,95,-7.8321114e-05,3171.0,10
96,96,-7.812803e-05,1107.0,4
97,97,-7.8177814e-05,2919.0,9
98,98,-7.767425e-05,123.0,1
99,99,-7.81284e-05,1321.0,5
100,100,-7.81284e-05,1322.0,5
101,101,-7.816497e-05,2884.0,9
102,102,-7.828026e-05,3144.0,10
103,103,-7.81293e-05,2415.0,8
104,104,-7.81284e-05,1323.0,5
105,105,-7.816932e-05,2896.0,9
106,106,-7.813254e-05,2623.0,9
107,107,-7.808295e-05,866.0,3
108,108,-7.813061e-05,2547.0,8
109,109,-7.81284e-05,1324.0,5
110,110,-7.843718e-05,3225.0,10
111,111,-7.81284e-05,1325.0,5
112,112,-7.81284e-05,1326.0,5
113,113,-7.81308e-05,2557.0,8
114,114,-7.81293e-05,2416.0,8
115,115,-7.81308e-05,2558.0,8
116,116,-7.8270925e-05,3136.0,10
117,117,-7.8091936e-05,903.0,3
118,118,-7.816475e-05,2883.0,9
119,119,-7.820337e-05,2972.0,10
120,120,-7.820337e-05,2973.0,10
121,121,-7.809193e-05,891.0,3
122,122,-7.81284e-05,1327.0,5
123,123,-7.81284e-05,1328.0,5
124,124,-7.812831e-05,1179.0,4
125,125,-7.81284e-05,1329.0,5
126,126,-7.81284e-05,1330.0,5
127,127,-7.7737845e-05,169.0,1
128,128,-7.812971e-05,2496.0,8
129,129,-7.813211e-05,2619.0,9
130,130,-7.81284e-05,1331.0,5
131,131,-7.8247525e-05,3107.0,10
132,132,-7.81284e-05,1332.0,5
133,133,-7.81284e-05,1333.0,5
134,134,-7.81284e-05,1334.0,5
135,135,-7.812803e-05,1108.0,4
136,136,-7.7933524e-05,492.0,2
137,137,-7.8345845e-05,3192.0,10
138,138,-7.7927405e-05,477.0,2
139,139,-7.81284e-05,1335.0,5
140,140,-7.81284e-05,1336.0,5
141,141,-7.81284e-05,1337.0,5
142,142,-7.820337e-05,2974.0,10
143,143,-7.81308e-05,2559.0,8
144,144,-7.81284e-05,1338.0,5
145,145,-7.81284e-05,1339.0,5
146,146,-7.81308e-05,2560.0,8
147,147,-7.8194775e-05,2951.0,10
148,148,-7.8091936e-05,904.0,3
149,149,-7.812751e-05,1063.0,4
150,150,-7.81284e-05,1340.0,5
151,151,-7.81284e-05,1341.0,5
152,152,-7.81308e-05,2561.0,8
153,153,-7.792904e-05,483.0,2
154,154,-7.7955294e-05,544.0,2
155,155,-7.8128396e-05,1224.0,4
156,156,-7.8322075e-05,3172.0,10
157,157,-7.81284e-05,1342.0,5
158,158,-7.81284e-05,1343.0,5
159,159,-7.81284e-05,1344.0,5
160,160,-7.81284e-05,1345.0,5
161,161,-7.8133366e-05,2628.0,9
162,162,-7.81284e-05,1346.0,5
163,163,-7.809971e-05,980.0,3
164,164,-7.81284e-05,1347.0,5
165,165,-7.812803e-05,1109.0,4
166,166,-7.802076e-05,700.0,3
167,167,-7.7974575e-05,589.0,2
168,168,-7.801068e-05,673.0,3
169,169,-7.81284e-05,1348.0,5
170,170,-7.812713e-05,1041.0,4
171,171,-7.820327e-05,2966.0,10
172,172,-7.825932e-05,3121.0,10
173,173,-7.8035984e-05,734.0,3
174,174,-7.814595e-05,2837.0,9
175,175,-7.778568e-05,223.0,1
176,176,-7.81284e-05,1349.0,5
177,177,-7.820337e-05,2975.0,10
178,178,-7.806367e-05,807.0,3
179,179,-7.799766e-05,639.0,2
180,180,-7.808334e-05,868.0,3
181,181,-7.81284e-05,1350.0,5
182,182,-7.793556e-05,497.0,2
183,183,-7.81284e-05,1351.0,5
184,184,-7.81284e-05,1352.0,5
185,185,-7.81284e-05,1353.0,5
186,186,-7.81284e-05,1354.0,5
187,187,-7.81284e-05,1355.0,5
188,188,-7.817372e-05,2907.0,9
189,189,-7.81284e-05,1356.0,5
190,190,-7.81284e-05,1357.0,5
191,191,-7.81284e-05,1358.0,5
192,192,-7.812741e-05,1045.0,4
193,193,-7.81293e-05,2417.0,8
194,194,-7.81284e-05,1359.0,5
195,195,-7.81284e-05,1360.0,5
196,196,-7.8137906e-05,2712.0,9
197,197,-7.81284e-05,1361.0,5
198,198,-7.81284e-05,1362.0,5
199,199,-7.812831e-05,1180.0,4
200,200,-7.800862e-05,669.0,3
201,201,-7.81293e-05,2418.0,8
202,202,-7.806718e-05,819.0,3
203,203,-7.81284e-05,1363.0,5
204,204,-7.81308e-05,2562.0,8
205,205,-7.8100464e-05,982.0,3
206,206,-7.820337e-05,2976.0,10
207,207,-7.81284e-05,1364.0,5
208,208,-7.812971e-05,2497.0,8
209,209,-7.81284e-05,1365.0,5
210,210,-7.8179786e-05,2925.0,9
211,211,-7.8012075e-05,677.0,3
212,212,-7.787498e-05,364.0,2
213,213,-7.798897e-05,618.0,2
214,214,-7.809387e-05,961.0,3
215,215,-7.81284e-05,1366.0,5
216,216,-7.785392e-05,328.0,1
217,217,-7.801768e-05,688.0,3
218,218,-7.795072e-05,528.0,2
219,219,-7.8277015e-05,3142.0,10
220,220,-7.7880715e-05,383.0,2
221,221,-7.81284e-05,1367.0,5
222,222,-7.8147976e-05,2850.0,9
223,223,-7.81284e-05,1368.0,5
224,224,-7.796246e-05,561.0,2
225,225,-7.791608e-05,460.0,2
226,226,-7.788223e-05,389.0,2
227,227,-7.815724e-05,2868.0,9
228,228,-7.7829456e-05,282.0,1
229,229,-7.7676494e-05,124.0,1
230,230,-7.824931e-05,3110.0,10
231,231,-7.831522e-05,3169.0,10
232,232,-7.81284e-05,1369.0,5
233,233,-7.81284e-05,1370.0,5
234,234,-7.81284e-05,1371.0,5
235,235,-7.81284e-05,1372.0,5
236,236,-7.81284e-05,1373.0,5
237,237,-7.81284e-05,1374.0,5
238,238,-7.788425e-05,396.0,2
239,239,-7.812831e-05,1181.0,4
240,240,-7.81284e-05,1375.0,5
241,241,-7.809433e-05,965.0,3
242,242,-7.81284e-05,1376.0,5
243,243,-7.8071724e-05,837.0,3
244,244,-7.804371e-05,752.0,3
245,245,-7.803593e-05,733.0,3
246,246,-7.81284e-05,1377.0,5
247,247,-7.81293e-05,2419.0,8
248,248,-7.813701e-05,2658.0,9
249,249,-7.81284e-05,1378.0,5
250,250,-7.820609e-05,3040.0,10
251,251,-7.8129706e-05,2486.0,8
252,252,-7.81293e-05,2420.0,8
253,253,-7.81284e-05,1379.0,5
254,254,-7.81284e-05,1380.0,5
255,255,-7.812831e-05,1182.0,4
256,256,-7.81284e-05,1381.0,5
257,257,-7.81284e-05,1382.0,5
258,258,-7.8506244e-05,3240.0,10
259,259,-7.809193e-05,892.0,3
260,260,-7.81284e-05,1383.0,5
261,261,-7.81284e-05,1384.0,5
262,262,-7.8205965e-05,3039.0,10
263,263,-7.826298e-05,3126.0,10
264,264,-7.793642e-05,498.0,2
265,265,-7.729277e-05,14.0,1
266,266,-7.81284e-05,1385.0,5
267,267,-7.7798795e-05,236.0,1
268,268,-7.834557e-05,3191.0,10
269,269,-7.81284e-05,1386.0,5
270,270,-7.820337e-05,2977.0,10
