variables,sensitivity,sensitivity_normalized
ages,0.00026977878714969057,0.03999910583818334
flow,0.0005773645197459814,0.08560370804735414
exp_ratio,0.00014808223100055062,0.021955606269587057
tna,0.00023246545810593226,0.03446679615080932
turnover,0.0008345983262542044,0.12374281587117322
Family_TNA,0.00010175030942480394,0.015086143127674392
fund_no,0.0002024459278143181,0.0300159111052013
Family_r12_2,0.0001575784712764183,0.023363578793566455
Family_flow,0.0001826830827443523,0.027085746951195505
Family_age,0.00012255819457373415,0.018171251520125616
F_ST_Rev,0.0006517693529415443,0.09663543826345283
F_r2_1,0.0003341283809194205,0.04953998278790197
F_r12_2,0.001257682705134958,0.1864719764109282
sentiment,0.0016717347012081738,0.24786193886284674
