,variables,sensitivity,sensitivity_normalized
0,ages,0.00017812826259517553,0.041910412895873266
1,flow,0.0003004897516152176,0.07069989555668219
2,exp_ratio,0.00015202897143696788,0.03576971375698365
3,tna,0.0001612209163538336,0.03793241495425228
4,turnover,0.0002432443060925349,0.057231060104576736
5,Family_TNA,8.195117365703104e-05,0.019281653990379215
6,fund_no,0.00015449755809801818,0.03635052830447066
7,Family_r12_2,0.0001692573435231052,0.03982324337173502
8,Family_flow,9.680624801094337e-05,0.02277678884826687
9,Family_age,0.00014801470416823205,0.03482522804620423
10,F_ST_Rev,0.0005862559753896648,0.13793560681099482
11,F_r2_1,0.0003125851483099074,0.07354572733109238
12,F_r12_2,0.0008833790202407187,0.2078433761293714
13,sentiment,0.0007823555500951586,0.1840743498991171
